id_processo;id_cliente;nome_cliente;segmento;tipo_processo;valor_contrato;status;data_abertura;data_analise;data_aprovacao;data_emissao;dt_envio;data_recebimento;dt_pgto;data_liquidacao;data_vencimento;dt_cancel
PROC-0023;CLI-0056;Cliente 0056;PF;Crédito Pessoal;68986.46;Liquidado;30/01/2024;03/02/2024;05/02/2024;07/02/2024;10/02/2024;13/02/2024;28/02/2024;29/02/2024;08/03/2024;
PROC-0024;CLI-0050;Cliente 0050;PF;Crédito Pessoal;5098.01;Liquidado;28/01/2024;30/01/2024;02/02/2024;03/02/2024;07/02/2024;14/02/2024;15/02/2024;20/02/2024;04/03/2024;
PROC-0025;CLI-0060;Cliente 0060;PF;Financiamento;143914.61;Liquidado;21/05/2024;24/05/2024;31/05/2024;02/06/2024;05/06/2024;10/06/2024;25/06/2024;29/06/2024;02/07/2024;
PROC-0026;CLI-0012;Cliente 0012;PF;Leasing;34336.14;Pago;09/02/2024;14/02/2024;21/02/2024;22/02/2024;23/02/2024;28/02/2024;09/03/2024;;23/03/2024;
PROC-0027;CLI-0001;Cliente 0001;PF;Crédito Pessoal;104845.82;Em Análise;10/03/2024;12/03/2024;19/03/2024;20/03/2024;21/03/2024;;;;19/04/2024;
PROC-0028;CLI-0060;Cliente 0060;PF;Leasing;24127.4;Em Análise;13/03/2024;14/03/2024;;;;;;;;
PROC-0029;CLI-0039;Empresa 0039;PJ;Crédito Pessoal;99249.59;Liquidado;03/06/2024;05/06/2024;12/06/2024;14/06/2024;15/06/2024;19/06/2024;22/06/2024;26/06/2024;14/07/2024;
PROC-0030;CLI-0020;Cliente 0020;PF;Financiamento;28051.73;Pago;23/02/2024;26/02/2024;03/03/2024;06/03/2024;09/03/2024;11/03/2024;20/03/2024;;05/04/2024;
PROC-0031;CLI-0033;Cliente 0033;PF;Financiamento;140245.21;Liquidado;28/03/2024;29/03/2024;31/03/2024;03/04/2024;05/04/2024;10/04/2024;21/04/2024;24/04/2024;03/05/2024;
PROC-0032;CLI-0017;Empresa 0017;PJ;Crédito Pessoal;44732.82;Em Análise;22/02/2024;24/02/2024;28/02/2024;02/03/2024;;;;;01/04/2024;
PROC-0033;CLI-0037;Empresa 0037;PJ;Financiamento;99915.25;Liquidado;24/06/2024;26/06/2024;01/07/2024;03/07/2024;07/07/2024;11/07/2024;21/07/2024;24/07/2024;02/08/2024;
PROC-0034;CLI-0008;Cliente 0008;PF;Financiamento;41306.45;Pago;11/06/2024;12/06/2024;16/06/2024;18/06/2024;20/06/2024;26/06/2024;11/07/2024;;18/07/2024;
PROC-0035;CLI-0042;Cliente 0042;PF;Financiamento;58917.35;Liquidado;08/03/2024;11/03/2024;14/03/2024;17/03/2024;21/03/2024;23/03/2024;05/04/2024;09/04/2024;16/04/2024;
PROC-0036;CLI-0048;Cliente 0048;PF;Consórcio;136051.04;Aguardando Pagamento;09/05/2024;13/05/2024;19/05/2024;21/05/2024;22/05/2024;24/05/2024;;;20/06/2024;
PROC-0037;CLI-0015;Cliente 0015;PF;Financiamento;29001.14;Aguardando Pagamento;05/05/2024;09/05/2024;13/05/2024;15/05/2024;16/05/2024;24/05/2024;;;14/06/2024;
PROC-0038;CLI-0018;Cliente 0018;PF;Financiamento;62469.53;Liquidado;05/03/2024;10/03/2024;17/03/2024;20/03/2024;22/03/2024;28/03/2024;07/04/2024;09/04/2024;19/04/2024;
PROC-0039;CLI-0044;Cliente 0044;PF;Leasing;49298.84;Aguardando Pagamento;14/01/2024;15/01/2024;18/01/2024;21/01/2024;25/01/2024;02/02/2024;;;20/02/2024;
PROC-0040;CLI-0018;Cliente 0018;PF;Crédito Pessoal;106419.0;Pago;24/01/2024;29/01/2024;04/02/2024;05/02/2024;08/02/2024;14/02/2024;27/02/2024;;06/03/2024;
PROC-0041;CLI-0042;Cliente 0042;PF;Leasing;38950.86;Pago;11/06/2024;12/06/2024;16/06/2024;19/06/2024;20/06/2024;26/06/2024;27/06/2024;;19/07/2024;
PROC-0042;CLI-0010;Cliente 0010;PF;Consórcio;100045.36;Em Análise;18/04/2024;21/04/2024;27/04/2024;29/04/2024;;;;;29/05/2024;
PROC-0043;CLI-0036;Cliente 0036;PF;Consórcio;107036.22;Em Análise;11/03/2024;15/03/2024;21/03/2024;23/03/2024;27/03/2024;;;;22/04/2024;
PROC-0044;CLI-0038;Cliente 0038;PF;Crédito Pessoal;5157.51;Em Análise;12/01/2024;17/01/2024;21/01/2024;24/01/2024;28/01/2024;;;;23/02/2024;
PROC-0045;CLI-0027;Cliente 0027;PF;Leasing;74136.97;Pago;01/01/2024;03/01/2024;05/01/2024;08/01/2024;09/01/2024;17/01/2024;31/01/2024;;07/02/2024;
PROC-0046;CLI-0010;Cliente 0010;PF;Crédito Pessoal;24241.47;Aguardando Pagamento;26/03/2024;29/03/2024;03/04/2024;06/04/2024;08/04/2024;13/04/2024;;;06/05/2024;
PROC-0047;CLI-0006;Cliente 0006;PF;Crédito Pessoal;37797.67;Pago;03/02/2024;04/02/2024;05/02/2024;08/02/2024;11/02/2024;17/02/2024;19/02/2024;;09/03/2024;
PROC-0048;CLI-0038;Cliente 0038;PF;Crédito Pessoal;103597.5;Aguardando Pagamento;12/06/2024;16/06/2024;20/06/2024;21/06/2024;24/06/2024;30/06/2024;;;21/07/2024;
PROC-0049;CLI-0003;Cliente 0003;PF;Consórcio;6346.61;Cancelado;08/03/2024;12/03/2024;;;;;;;;13/03/2024
PROC-0050;CLI-0047;Cliente 0047;PF;Leasing;105861.58;Liquidado;11/02/2024;16/02/2024;17/02/2024;19/02/2024;23/02/2024;28/02/2024;01/03/2024;04/03/2024;20/03/2024;
PROC-0051;CLI-0013;Cliente 0013;PF;Crédito Pessoal;123480.81;Liquidado;23/04/2024;27/04/2024;01/05/2024;03/05/2024;04/05/2024;11/05/2024;12/05/2024;16/05/2024;02/06/2024;
PROC-0052;CLI-0058;Cliente 0058;PF;Financiamento;148282.46;Em Análise;21/05/2024;22/05/2024;24/05/2024;;;;;;;
PROC-0053;CLI-0002;Cliente 0002;PF;Crédito Pessoal;66235.52;Em Análise;19/04/2024;23/04/2024;;;;;;;;
PROC-0054;CLI-0055;Cliente 0055;PF;Consórcio;24165.4;Pago;23/05/2024;27/05/2024;30/05/2024;02/06/2024;05/06/2024;11/06/2024;13/06/2024;;02/07/2024;
PROC-0055;CLI-0024;Cliente 0024;PF;Financiamento;15270.1;Liquidado;03/01/2024;06/01/2024;12/01/2024;13/01/2024;14/01/2024;22/01/2024;30/01/2024;03/02/2024;12/02/2024;
PROC-0056;CLI-0056;Cliente 0056;PF;Crédito Pessoal;60545.14;Aguardando Pagamento;29/01/2024;31/01/2024;01/02/2024;04/02/2024;08/02/2024;13/02/2024;;;05/03/2024;
PROC-0057;CLI-0055;Cliente 0055;PF;Consórcio;110960.69;Em Análise;20/01/2024;23/01/2024;30/01/2024;31/01/2024;;;;;01/03/2024;
PROC-0058;CLI-0043;Cliente 0043;PF;Crédito Pessoal;19851.94;Liquidado;25/06/2024;29/06/2024;04/07/2024;05/07/2024;08/07/2024;12/07/2024;25/07/2024;27/07/2024;04/08/2024;
PROC-0059;CLI-0043;Cliente 0043;PF;Consórcio;50435.96;Aguardando Pagamento;08/02/2024;12/02/2024;15/02/2024;17/02/2024;18/02/2024;20/02/2024;;;18/03/2024;
PROC-0060;CLI-0041;Cliente 0041;PF;Financiamento;132743.4;Liquidado;19/05/2024;20/05/2024;27/05/2024;29/05/2024;30/05/2024;06/06/2024;18/06/2024;19/06/2024;28/06/2024;
PROC-0061;CLI-0023;Empresa 0023;PJ;Consórcio;24883.75;Liquidado;10/01/2024;15/01/2024;20/01/2024;22/01/2024;23/01/2024;28/01/2024;04/02/2024;05/02/2024;21/02/2024;
PROC-0062;CLI-0031;Empresa 0031;PJ;Crédito Pessoal;117151.77;Cancelado;04/04/2024;07/04/2024;;;;;;;;23/04/2024
PROC-0063;CLI-0045;Cliente 0045;PF;Leasing;114207.88;Cancelado;29/05/2024;30/05/2024;;;;;;;;17/06/2024
PROC-0064;CLI-0048;Cliente 0048;PF;Leasing;24306.2;Pago;21/05/2024;22/05/2024;25/05/2024;28/05/2024;31/05/2024;08/06/2024;23/06/2024;;27/06/2024;
PROC-0065;CLI-0038;Cliente 0038;PF;Crédito Pessoal;148976.32;Liquidado;07/02/2024;09/02/2024;15/02/2024;16/02/2024;19/02/2024;27/02/2024;12/03/2024;17/03/2024;17/03/2024;
PROC-0066;CLI-0009;Empresa 0009;PJ;Crédito Pessoal;25713.69;Cancelado;20/04/2024;21/04/2024;;;;;;;;06/05/2024
PROC-0067;CLI-0030;Cliente 0030;PF;Leasing;81923.7;Liquidado;02/02/2024;04/02/2024;11/02/2024;14/02/2024;16/02/2024;18/02/2024;25/02/2024;26/02/2024;15/03/2024;
PROC-0068;CLI-0053;Empresa 0053;PJ;Crédito Pessoal;6228.84;Em Análise;11/01/2024;12/01/2024;19/01/2024;;;;;;;
PROC-0069;CLI-0053;Empresa 0053;PJ;Financiamento;99252.93;Em Análise;19/03/2024;21/03/2024;;;;;;;;
PROC-0070;CLI-0026;Cliente 0026;PF;Financiamento;68814.42;Liquidado;03/04/2024;06/04/2024;09/04/2024;11/04/2024;15/04/2024;19/04/2024;30/04/2024;01/05/2024;11/05/2024;
PROC-0071;CLI-0027;Cliente 0027;PF;Financiamento;109752.64;Liquidado;11/01/2024;13/01/2024;14/01/2024;16/01/2024;20/01/2024;28/01/2024;11/02/2024;15/02/2024;15/02/2024;
PROC-0072;CLI-0032;Cliente 0032;PF;Leasing;96071.61;Liquidado;01/04/2024;02/04/2024;03/04/2024;05/04/2024;07/04/2024;13/04/2024;24/04/2024;27/04/2024;05/05/2024;
PROC-0073;CLI-0042;Cliente 0042;PF;Consórcio;26949.25;Liquidado;23/02/2024;25/02/2024;28/02/2024;02/03/2024;06/03/2024;13/03/2024;15/03/2024;16/03/2024;01/04/2024;
PROC-0074;CLI-0006;Cliente 0006;PF;Consórcio;64697.93;Em Análise;23/06/2024;24/06/2024;26/06/2024;28/06/2024;;;;;28/07/2024;
PROC-0075;CLI-0044;Cliente 0044;PF;Consórcio;104552.09;Em Análise;04/03/2024;07/03/2024;12/03/2024;15/03/2024;17/03/2024;;;;14/04/2024;
PROC-0076;CLI-0049;Cliente 0049;PF;Consórcio;129694.57;Aguardando Pagamento;19/06/2024;23/06/2024;25/06/2024;27/06/2024;30/06/2024;06/07/2024;;;27/07/2024;
PROC-0077;CLI-0049;Cliente 0049;PF;Consórcio;17569.76;Liquidado;27/01/2024;29/01/2024;30/01/2024;01/02/2024;05/02/2024;11/02/2024;20/02/2024;21/02/2024;02/03/2024;
PROC-0078;CLI-0038;Cliente 0038;PF;Financiamento;19567.44;Em Análise;31/03/2024;02/04/2024;06/04/2024;;;;;;;
PROC-0079;CLI-0003;Cliente 0003;PF;Leasing;114104.62;Aguardando Pagamento;23/05/2024;26/05/2024;28/05/2024;31/05/2024;04/06/2024;09/06/2024;;;30/06/2024;
PROC-0080;CLI-0022;Cliente 0022;PF;Consórcio;90488.22;Pago;14/04/2024;19/04/2024;24/04/2024;25/04/2024;27/04/2024;04/05/2024;18/05/2024;;25/05/2024;
PROC-0081;CLI-0032;Cliente 0032;PF;Leasing;60684.63;Cancelado;07/06/2024;12/06/2024;;;;;;;;18/06/2024
PROC-0082;CLI-0049;Cliente 0049;PF;Consórcio;144671.06;Aguardando Pagamento;09/02/2024;12/02/2024;15/02/2024;16/02/2024;17/02/2024;23/02/2024;;;17/03/2024;
PROC-0083;CLI-0017;Empresa 0017;PJ;Financiamento;50603.03;Aguardando Pagamento;01/03/2024;04/03/2024;10/03/2024;12/03/2024;15/03/2024;17/03/2024;;;11/04/2024;
PROC-0084;CLI-0021;Cliente 0021;PF;Consórcio;25275.38;Em Análise;11/02/2024;14/02/2024;;;;;;;;
PROC-0085;CLI-0032;Cliente 0032;PF;Crédito Pessoal;45160.31;Liquidado;15/02/2024;19/02/2024;22/02/2024;23/02/2024;26/02/2024;02/03/2024;13/03/2024;18/03/2024;24/03/2024;
PROC-0086;CLI-0032;Cliente 0032;PF;Crédito Pessoal;17216.06;Em Análise;15/04/2024;16/04/2024;18/04/2024;;;;;;;
PROC-0087;CLI-0006;Cliente 0006;PF;Crédito Pessoal;85242.51;Cancelado;07/01/2024;10/01/2024;;;;;;;;22/01/2024
PROC-0088;CLI-0010;Cliente 0010;PF;Financiamento;92001.14;Liquidado;15/02/2024;19/02/2024;24/02/2024;25/02/2024;29/02/2024;03/03/2024;10/03/2024;11/03/2024;26/03/2024;
PROC-0089;CLI-0020;Cliente 0020;PF;Crédito Pessoal;93101.0;Liquidado;26/03/2024;30/03/2024;03/04/2024;06/04/2024;10/04/2024;13/04/2024;27/04/2024;30/04/2024;06/05/2024;
PROC-0090;CLI-0033;Cliente 0033;PF;Consórcio;117950.6;Liquidado;15/04/2024;20/04/2024;24/04/2024;27/04/2024;29/04/2024;07/05/2024;15/05/2024;20/05/2024;27/05/2024;
PROC-0091;CLI-0045;Cliente 0045;PF;Consórcio;105119.03;Liquidado;20/06/2024;23/06/2024;25/06/2024;28/06/2024;02/07/2024;07/07/2024;12/07/2024;14/07/2024;28/07/2024;
PROC-0092;CLI-0022;Cliente 0022;PF;Financiamento;127944.36;Aguardando Pagamento;04/03/2024;09/03/2024;16/03/2024;17/03/2024;20/03/2024;27/03/2024;;;16/04/2024;
PROC-0093;CLI-0035;Cliente 0035;PF;Crédito Pessoal;100468.78;Liquidado;09/03/2024;13/03/2024;15/03/2024;18/03/2024;22/03/2024;29/03/2024;11/04/2024;14/04/2024;17/04/2024;
PROC-0094;CLI-0028;Cliente 0028;PF;Financiamento;48739.15;Em Análise;10/02/2024;15/02/2024;18/02/2024;;;;;;;
PROC-0095;CLI-0055;Cliente 0055;PF;Crédito Pessoal;80073.62;Em Análise;28/06/2024;30/06/2024;06/07/2024;;;;;;;
PROC-0096;CLI-0007;Cliente 0007;PF;Consórcio;78880.77;Aguardando Pagamento;28/01/2024;29/01/2024;05/02/2024;07/02/2024;09/02/2024;12/02/2024;;;08/03/2024;
PROC-0097;CLI-0026;Cliente 0026;PF;Consórcio;113437.33;Pago;07/04/2024;11/04/2024;14/04/2024;17/04/2024;20/04/2024;27/04/2024;04/05/2024;;17/05/2024;
PROC-0098;CLI-0010;Cliente 0010;PF;Consórcio;47853.6;Em Análise;10/01/2024;14/01/2024;;;;;;;;
PROC-0099;CLI-0023;Empresa 0023;PJ;Leasing;12912.52;Pago;30/04/2024;04/05/2024;11/05/2024;14/05/2024;17/05/2024;22/05/2024;06/06/2024;;13/06/2024;
PROC-0100;CLI-0032;Cliente 0032;PF;Consórcio;135197.32;Pago;26/02/2024;01/03/2024;02/03/2024;03/03/2024;06/03/2024;09/03/2024;10/03/2024;;02/04/2024;
PROC-0101;CLI-0014;Cliente 0014;PF;Financiamento;143427.37;Liquidado;21/02/2024;23/02/2024;29/02/2024;02/03/2024;06/03/2024;12/03/2024;14/03/2024;18/03/2024;01/04/2024;
PROC-0102;CLI-0011;Cliente 0011;PF;Crédito Pessoal;76758.72;Aguardando Pagamento;27/04/2024;30/04/2024;03/05/2024;06/05/2024;10/05/2024;14/05/2024;;;05/06/2024;
PROC-0103;CLI-0024;Cliente 0024;PF;Financiamento;21347.83;Aguardando Pagamento;30/03/2024;02/04/2024;04/04/2024;07/04/2024;08/04/2024;16/04/2024;;;07/05/2024;
PROC-0104;CLI-0042;Cliente 0042;PF;Financiamento;77439.47;Liquidado;19/03/2024;24/03/2024;27/03/2024;28/03/2024;31/03/2024;07/04/2024;19/04/2024;22/04/2024;27/04/2024;
PROC-0105;CLI-0057;Cliente 0057;PF;Crédito Pessoal;91119.82;Pago;28/02/2024;02/03/2024;04/03/2024;05/03/2024;09/03/2024;13/03/2024;17/03/2024;;04/04/2024;
PROC-0106;CLI-0056;Cliente 0056;PF;Financiamento;81601.54;Pago;27/02/2024;03/03/2024;09/03/2024;12/03/2024;13/03/2024;16/03/2024;23/03/2024;;11/04/2024;
PROC-0107;CLI-0045;Cliente 0045;PF;Crédito Pessoal;146766.06;Liquidado;07/01/2024;08/01/2024;15/01/2024;16/01/2024;20/01/2024;24/01/2024;02/02/2024;06/02/2024;15/02/2024;
PROC-0108;CLI-0047;Cliente 0047;PF;Crédito Pessoal;148097.97;Liquidado;17/06/2024;21/06/2024;28/06/2024;30/06/2024;02/07/2024;05/07/2024;19/07/2024;24/07/2024;30/07/2024;
PROC-0109;CLI-0004;Cliente 0004;PF;Leasing;140419.04;Cancelado;19/02/2024;21/02/2024;;;;;;;;01/03/2024
PROC-0110;CLI-0030;Cliente 0030;PF;Leasing;24137.52;Cancelado;12/04/2024;16/04/2024;;;;;;;;18/04/2024
PROC-0111;CLI-0033;Cliente 0033;PF;Consórcio;129818.03;Liquidado;25/03/2024;26/03/2024;27/03/2024;28/03/2024;30/03/2024;03/04/2024;06/04/2024;08/04/2024;27/04/2024;
PROC-0112;CLI-0005;Cliente 0005;PF;Financiamento;87415.16;Liquidado;12/03/2024;14/03/2024;18/03/2024;19/03/2024;23/03/2024;30/03/2024;04/04/2024;05/04/2024;18/04/2024;
PROC-0113;CLI-0057;Cliente 0057;PF;Consórcio;57984.81;Em Análise;18/01/2024;20/01/2024;;;;;;;;
PROC-0114;CLI-0052;Cliente 0052;PF;Financiamento;104026.6;Em Análise;12/03/2024;17/03/2024;19/03/2024;22/03/2024;;;;;21/04/2024;
PROC-0115;CLI-0044;Cliente 0044;PF;Leasing;115595.26;Em Análise;30/03/2024;04/04/2024;;;;;;;;
PROC-0116;CLI-0011;Cliente 0011;PF;Financiamento;143395.68;Liquidado;13/06/2024;17/06/2024;23/06/2024;26/06/2024;29/06/2024;06/07/2024;21/07/2024;24/07/2024;26/07/2024;
PROC-0117;CLI-0026;Cliente 0026;PF;Crédito Pessoal;116703.22;Pago;10/05/2024;15/05/2024;17/05/2024;19/05/2024;20/05/2024;25/05/2024;31/05/2024;;18/06/2024;
PROC-0118;CLI-0028;Cliente 0028;PF;Crédito Pessoal;7419.96;Cancelado;12/04/2024;16/04/2024;;;;;;;;29/04/2024
PROC-0119;CLI-0001;Cliente 0001;PF;Leasing;14792.22;Liquidado;22/06/2024;25/06/2024;28/06/2024;01/07/2024;05/07/2024;13/07/2024;26/07/2024;27/07/2024;31/07/2024;
PROC-0120;CLI-0017;Empresa 0017;PJ;Financiamento;43016.87;Liquidado;17/05/2024;19/05/2024;22/05/2024;23/05/2024;26/05/2024;30/05/2024;05/06/2024;10/06/2024;22/06/2024;
PROC-0121;CLI-0005;Cliente 0005;PF;Financiamento;10774.89;Liquidado;25/03/2024;30/03/2024;02/04/2024;04/04/2024;05/04/2024;12/04/2024;27/04/2024;01/05/2024;04/05/2024;
PROC-0122;CLI-0056;Cliente 0056;PF;Consórcio;13767.98;Aguardando Pagamento;08/01/2024;10/01/2024;14/01/2024;17/01/2024;20/01/2024;25/01/2024;;;16/02/2024;
PROC-0123;CLI-0011;Cliente 0011;PF;Crédito Pessoal;119447.05;Liquidado;30/01/2024;03/02/2024;06/02/2024;09/02/2024;12/02/2024;20/02/2024;24/02/2024;27/02/2024;10/03/2024;
PROC-0124;CLI-0007;Cliente 0007;PF;Financiamento;78458.54;Pago;07/03/2024;12/03/2024;15/03/2024;18/03/2024;19/03/2024;23/03/2024;28/03/2024;;17/04/2024;
PROC-0125;CLI-0022;Cliente 0022;PF;Consórcio;96142.75;Em Análise;15/02/2024;20/02/2024;24/02/2024;27/02/2024;;;;;28/03/2024;
PROC-0126;CLI-0025;Cliente 0025;PF;Leasing;77652.1;Em Análise;28/05/2024;29/05/2024;31/05/2024;02/06/2024;06/06/2024;;;;02/07/2024;
PROC-0127;CLI-0044;Cliente 0044;PF;Consórcio;65237.64;Aguardando Pagamento;08/03/2024;11/03/2024;13/03/2024;16/03/2024;17/03/2024;19/03/2024;;;15/04/2024;
PROC-0128;CLI-0043;Cliente 0043;PF;Crédito Pessoal;106762.54;Liquidado;10/01/2024;12/01/2024;18/01/2024;21/01/2024;24/01/2024;29/01/2024;13/02/2024;17/02/2024;20/02/2024;
PROC-0129;CLI-0058;Cliente 0058;PF;Crédito Pessoal;16952.03;Liquidado;28/01/2024;02/02/2024;06/02/2024;09/02/2024;11/02/2024;18/02/2024;21/02/2024;24/02/2024;10/03/2024;
PROC-0130;CLI-0039;Empresa 0039;PJ;Leasing;82801.9;Liquidado;01/06/2024;02/06/2024;09/06/2024;11/06/2024;14/06/2024;17/06/2024;24/06/2024;28/06/2024;11/07/2024;
PROC-0131;CLI-0029;Cliente 0029;PF;Leasing;94326.82;Liquidado;21/04/2024;26/04/2024;27/04/2024;29/04/2024;03/05/2024;07/05/2024;08/05/2024;13/05/2024;29/05/2024;
PROC-0132;CLI-0019;Empresa 0019;PJ;Financiamento;45232.82;Liquidado;29/03/2024;31/03/2024;01/04/2024;03/04/2024;05/04/2024;12/04/2024;23/04/2024;24/04/2024;03/05/2024;
PROC-0133;CLI-0020;Cliente 0020;PF;Leasing;49936.5;Liquidado;21/03/2024;25/03/2024;26/03/2024;28/03/2024;01/04/2024;03/04/2024;16/04/2024;19/04/2024;27/04/2024;
PROC-0134;CLI-0042;Cliente 0042;PF;Crédito Pessoal;79139.18;Liquidado;21/04/2024;22/04/2024;28/04/2024;30/04/2024;04/05/2024;10/05/2024;22/05/2024;23/05/2024;30/05/2024;
PROC-0135;CLI-0025;Cliente 0025;PF;Consórcio;34463.64;Pago;04/06/2024;08/06/2024;11/06/2024;12/06/2024;15/06/2024;17/06/2024;20/06/2024;;12/07/2024;
PROC-0136;CLI-0017;Empresa 0017;PJ;Consórcio;122168.71;Pago;10/05/2024;13/05/2024;20/05/2024;22/05/2024;23/05/2024;29/05/2024;01/06/2024;;21/06/2024;
PROC-0137;CLI-0045;Cliente 0045;PF;Leasing;82776.58;Liquidado;30/01/2024;31/01/2024;03/02/2024;04/02/2024;07/02/2024;10/02/2024;18/02/2024;20/02/2024;05/03/2024;
PROC-0138;CLI-0060;Cliente 0060;PF;Crédito Pessoal;61656.07;Em Análise;08/04/2024;12/04/2024;;;;;;;;
PROC-0139;CLI-0012;Cliente 0012;PF;Leasing;96972.67;Em Análise;27/05/2024;28/05/2024;29/05/2024;01/06/2024;03/06/2024;;;;01/07/2024;
PROC-0140;CLI-0051;Empresa 0051;PJ;Leasing;126006.34;Liquidado;18/02/2024;19/02/2024;24/02/2024;27/02/2024;29/02/2024;07/03/2024;11/03/2024;14/03/2024;28/03/2024;
PROC-0141;CLI-0007;Cliente 0007;PF;Financiamento;103753.07;Liquidado;06/03/2024;07/03/2024;12/03/2024;15/03/2024;17/03/2024;24/03/2024;05/04/2024;06/04/2024;14/04/2024;
PROC-0142;CLI-0046;Cliente 0046;PF;Leasing;14586.69;Aguardando Pagamento;12/01/2024;17/01/2024;18/01/2024;20/01/2024;22/01/2024;24/01/2024;;;19/02/2024;
PROC-0143;CLI-0009;Empresa 0009;PJ;Financiamento;106308.0;Pago;21/04/2024;22/04/2024;26/04/2024;29/04/2024;01/05/2024;04/05/2024;05/05/2024;;29/05/2024;
PROC-0144;CLI-0008;Cliente 0008;PF;Financiamento;110843.96;Liquidado;01/01/2024;02/01/2024;05/01/2024;07/01/2024;08/01/2024;13/01/2024;20/01/2024;23/01/2024;06/02/2024;
